pair,block,target,n,coverage,abstention,n_answered,selective_accuracy,calib_fallback_states
USDINR,4,0.55,503,0.6520874751491054,0.6163021868787276,193,0.47150259067357514,[]
USDINR,4,0.6,503,0.6858846918489065,0.7276341948310139,137,0.5036496350364964,[]
USDINR,4,0.65,503,0.7335984095427436,0.8588469184890656,71,0.4647887323943662,[]
USDINR,4,0.7,503,0.7634194831013916,0.9204771371769384,40,0.5,[]
USDINR,4,0.75,503,0.7892644135188867,0.9463220675944334,27,0.5555555555555556,[]
USDINR,4,0.8,503,0.827037773359841,0.9622266401590457,19,0.5263157894736842,[]
USDINR,4,0.85,503,0.8648111332007953,0.9801192842942346,10,0.5,[]
USDINR,4,0.9,503,0.9224652087475149,0.9880715705765407,6,0.5,[]
USDINR,4,0.95,503,0.9761431411530815,0.9940357852882704,3,0.3333333333333333,[]
USDINR,5,0.5,378,0.5,0.3571428571428571,243,0.43209876543209874,[]
USDINR,5,0.55,378,0.5264550264550265,0.4444444444444444,210,0.43333333333333335,[]
USDINR,5,0.6,378,0.5740740740740741,0.626984126984127,141,0.46099290780141844,[]
USDINR,5,0.65,378,0.6111111111111112,0.7275132275132274,103,0.46601941747572817,[]
USDINR,5,0.7,378,0.6613756613756614,0.8465608465608465,58,0.5,[]
USDINR,5,0.75,378,0.6931216931216931,0.9682539682539683,12,0.4166666666666667,[]
USDINR,5,0.8,378,0.716931216931217,0.9841269841269842,6,0.6666666666666666,[]
USDINR,5,0.85,378,0.7354497354497355,0.9920634920634921,3,0.3333333333333333,[]
USDINR,5,0.9,378,0.7724867724867724,0.9947089947089947,2,0.5,[]
USDINR,5,0.95,378,0.8571428571428571,1.0,0,,[]
USDINR,6,0.5,322,0.5031055900621118,0.2701863354037267,235,0.4127659574468085,"[1, 2]"
USDINR,6,0.55,322,0.593167701863354,0.48757763975155277,165,0.4,"[1, 2]"
USDINR,6,0.6,322,0.6521739130434783,0.6677018633540373,107,0.35514018691588783,"[1, 2]"
USDINR,6,0.65,322,0.7950310559006211,0.906832298136646,30,0.26666666666666666,"[1, 2]"
USDINR,6,0.7,322,0.8850931677018633,0.9720496894409938,9,0.2222222222222222,"[1, 2]"
USDINR,6,0.75,322,0.9285714285714286,0.984472049689441,5,0.2,"[1, 2]"
USDINR,6,0.8,322,0.9596273291925466,0.9875776397515528,4,0.25,"[1, 2]"
USDINR,6,0.85,322,0.9875776397515528,1.0,0,,"[1, 2]"
USDINR,6,0.9,322,0.9937888198757764,1.0,0,,"[1, 2]"
USDINR,6,0.95,322,1.0,1.0,0,,"[1, 2]"
USDJPY,1,0.5,249,0.40562248995983935,0.07228915662650603,231,0.38095238095238093,"[0, 2]"
USDJPY,1,0.55,249,0.42570281124497994,0.14859437751004012,212,0.36792452830188677,"[0, 2]"
USDJPY,1,0.6,249,0.43775100401606426,0.17670682730923692,205,0.36097560975609755,"[0, 2]"
USDJPY,1,0.65,249,0.4578313253012048,0.21285140562248994,196,0.3673469387755102,"[0, 2]"
USDJPY,1,0.7,249,0.5220883534136547,0.3373493975903614,165,0.3939393939393939,"[0, 2]"
USDJPY,1,0.75,249,0.5823293172690763,0.43775100401606426,140,0.40714285714285714,"[0, 2]"
USDJPY,1,0.8,249,0.6265060240963856,0.5582329317269077,110,0.4090909090909091,"[0, 2]"
USDJPY,1,0.85,249,0.6947791164658634,0.7349397590361446,66,0.42424242424242425,"[0, 2]"
USDJPY,1,0.9,249,0.8473895582329317,0.9156626506024097,21,0.42857142857142855,"[0, 2]"
USDJPY,1,0.95,249,0.9357429718875502,0.9678714859437751,8,0.375,"[0, 2]"
USDJPY,2,0.5,377,0.47745358090185674,0.23342175066312998,289,0.3875432525951557,[]
USDJPY,2,0.55,377,0.5251989389920424,0.36074270557029176,241,0.38589211618257263,[]
USDJPY,2,0.6,377,0.5676392572944297,0.4588859416445623,204,0.39215686274509803,[]
USDJPY,2,0.65,377,0.6286472148541115,0.6259946949602122,141,0.3829787234042553,[]
USDJPY,2,0.7,377,0.6657824933687002,0.7506631299734748,94,0.30851063829787234,[]
USDJPY,2,0.75,377,0.7029177718832891,0.830238726790451,64,0.28125,[]
USDJPY,2,0.8,377,0.7241379310344828,0.8647214854111406,51,0.27450980392156865,[]
USDJPY,2,0.85,377,0.7984084880636605,0.9177718832891246,31,0.25806451612903225,[]
USDJPY,2,0.9,377,0.8912466843501327,0.9522546419098143,18,0.2222222222222222,[]
USDJPY,2,0.95,377,0.9442970822281167,0.9840848806366048,6,0.0,[]
USDJPY,3,0.5,377,0.38726790450928383,0.1458885941644562,322,0.34782608695652173,[1]
USDJPY,3,0.55,377,0.4350132625994695,0.2068965517241379,299,0.34782608695652173,[1]
USDJPY,3,0.6,377,0.48010610079575594,0.3129973474801061,259,0.3436293436293436,[1]
USDJPY,3,0.65,377,0.53315649867374,0.4588859416445623,204,0.3284313725490196,[1]
USDJPY,3,0.7,377,0.596816976127321,0.6312997347480106,139,0.30935251798561153,[1]
USDJPY,3,0.75,377,0.6737400530503979,0.7798408488063661,83,0.27710843373493976,[1]
USDJPY,3,0.8,377,0.7877984084880637,0.9151193633952255,32,0.375,[1]
USDJPY,3,0.85,377,0.8594164456233422,0.9708222811671088,11,0.18181818181818182,[1]
USDJPY,3,0.9,377,0.9283819628647215,0.9946949602122016,2,0.0,[1]
USDJPY,3,0.95,377,0.9416445623342176,0.9973474801061007,1,0.0,[1]
USDJPY,4,0.5,503,0.5566600397614314,0.4055666003976143,299,0.41471571906354515,[]
USDJPY,4,0.55,503,0.6023856858846919,0.5228628230616302,240,0.4,[]
USDJPY,4,0.6,503,0.6282306163021869,0.5805168986083499,211,0.3933649289099526,[]
USDJPY,4,0.65,503,0.6759443339960238,0.6998011928429424,151,0.39072847682119205,[]
USDJPY,4,0.7,503,0.6978131212723658,0.7534791252485089,124,0.3870967741935484,[]
USDJPY,4,0.75,503,0.7554671968190855,0.8687872763419483,66,0.4090909090909091,[]
USDJPY,4,0.8,503,0.8707753479125249,0.9900596421471173,5,0.6,[]
USDJPY,4,0.85,503,0.9165009940357853,1.0,0,,[]
USDJPY,4,0.9,503,0.94831013916501,1.0,0,,[]
USDJPY,4,0.95,503,0.9821073558648111,1.0,0,,[]
USDJPY,5,0.5,378,0.455026455026455,0.38888888888888884,231,0.36796536796536794,[1]
USDJPY,5,0.55,378,0.5343915343915344,0.4656084656084656,202,0.33663366336633666,[1]
USDJPY,5,0.6,378,0.5502645502645502,0.5105820105820106,185,0.31351351351351353,[1]
USDJPY,5,0.65,378,0.6084656084656085,0.6375661375661376,137,0.291970802919708,[1]
USDJPY,5,0.7,378,0.6798941798941799,0.8068783068783069,73,0.2465753424657534,[1]
USDJPY,5,0.75,378,0.7380952380952381,0.9470899470899471,20,0.35,[1]
USDJPY,5,0.8,378,0.8068783068783069,0.9973544973544973,1,0.0,[1]
USDJPY,5,0.85,378,0.8835978835978836,1.0,0,,[1]
USDJPY,5,0.9,378,0.9126984126984127,1.0,0,,[1]
USDJPY,5,0.95,378,0.9603174603174603,1.0,0,,[1]
USDJPY,6,0.5,322,0.46273291925465837,0.1708074534161491,267,0.3970037453183521,[0]
USDJPY,6,0.55,322,0.5093167701863354,0.28881987577639756,229,0.4104803493449782,[0]
USDJPY,6,0.6,322,0.5714285714285714,0.5031055900621118,160,0.38125,[0]
USDJPY,6,0.65,322,0.6490683229813664,0.6987577639751552,97,0.4020618556701031,[0]
USDJPY,6,0.7,322,0.7049689440993789,0.8354037267080745,53,0.4339622641509434,[0]
USDJPY,6,0.75,322,0.7453416149068323,0.9130434782608696,28,0.4642857142857143,[0]
USDJPY,6,0.8,322,0.7919254658385093,0.9813664596273292,6,0.3333333333333333,[0]
USDJPY,6,0.85,322,0.8136645962732919,1.0,0,,[0]
USDJPY,6,0.9,322,0.8664596273291926,1.0,0,,[0]
USDJPY,6,0.95,322,0.9440993788819876,1.0,0,,[0]
